SystemCash,CompanyCash,PlayersCash,Nu.Players,Nu.Cards,Operation,InvolvedP1,InvolvedP2,Avg.PlayersCash,Avg.PlayersCards
10001,10001,0,100,100,cash added to account,"11291512366757 ($4, #Cards:1)",,0,1
10002,10002,0,100,100,cash added to account,"3226146390502 ($4, #Cards:1)",,0,1
10003,10003,0,100,100,cash added to account,"11291512366757 ($4, #Cards:1)",,0,1
10004,10004,0,100,100,cash added to account,"4839219585753 ($4, #Cards:1)",,0,1
10005,10005,0,100,100,cash added to account,"8065365976255 ($4, #Cards:1)",,0,1
10006,10006,0,100,100,cash added to account,"14517658757259 ($4, #Cards:1)",,0,1
10007,10007,0,100,100,cash added to account,"11291512366757 ($4, #Cards:1)",,0,1
10008,10008,0,100,100,cash added to account,"8065365976255 ($4, #Cards:1)",,0,1
10009,10009,0,100,100,cash added to account,"9678439171506 ($4, #Cards:1)",,0,1
10010,10010,0,100,100,cash added to account,"4839219585753 ($4, #Cards:1)",,0,1
10011,10011,0,100,100,cash added to account,"6452292781004 ($4, #Cards:1)",,0,1
10012,10012,0,100,100,cash added to account,"3226146390502 ($4, #Cards:1)",,0,1
10013,10013,0,100,100,cash added to account,"14517658757259 ($4, #Cards:1)",,0,1
10014,10014,0,100,100,cash added to account,"4839219585753 ($4, #Cards:1)",,0,1
10015,10015,0,100,100,cash added to account,"12904585562008 ($4, #Cards:1)",,0,1
10015,10015,0,100,100,played round,"12904585562008 ($4, #Cards:0)","16130731952510 ($0, #Cards:2)",0,1
10015,10015,0,100,100,played round,"11291512366757 ($4, #Cards:2)","14517658757259 ($0, #Cards:0)",0,1
10016,10016,0,100,100,cash added to account,"14517658757259 ($4, #Cards:0)",,0,1
10016,10016,0,100,100,played round,"4839219585753 ($4, #Cards:2)","3226146390502 ($0, #Cards:0)",0,1
10017,10017,0,100,100,cash added to account,"16130731952510 ($4, #Cards:1)",,0,1
10018,10018,0,100,100,cash added to account,"9678439171506 ($4, #Cards:1)",,0,1
10019,10019,0,100,100,cash added to account,"1613073195251 ($4, #Cards:1)",,0,1
10020,10020,0,100,100,cash added to account,"16130731952510 ($4, #Cards:1)",,0,1
10021,10021,0,100,100,cash added to account,"4839219585753 ($4, #Cards:1)",,0,1
10022,10022,0,100,100,cash added to account,"6452292781004 ($4, #Cards:1)",,0,1
10022,10022,0,100,100,played round,"8065365976255 ($4, #Cards:2)","4839219585753 ($4, #Cards:1)",0,1
10023,10023,0,100,100,cash added to account,"4839219585753 ($4, #Cards:1)",,0,1
10023,10023,0,100,100,played round,"14517658757259 ($4, #Cards:0)","11291512366757 ($0, #Cards:2)",0,1
10024,10024,0,100,100,cash added to account,"8065365976255 ($4, #Cards:1)",,0,1
10024,10024,0,100,100,played round,"16130731952510 ($4, #Cards:2)","3226146390502 ($0, #Cards:0)",0,1
10024,10024,0,100,100,played round,"14517658757259 ($4, #Cards:0)","4839219585753 ($0, #Cards:1)",0,1
10025,10025,0,100,100,cash added to account,"9678439171506 ($4, #Cards:1)",,0,1
10025,10025,0,100,100,played round,"14517658757259 ($4, #Cards:2)","8065365976255 ($4, #Cards:0)",0,1
10026,10026,0,100,100,cash added to account,"6452292781004 ($4, #Cards:1)",,0,1
10027,10027,0,100,100,cash added to account,"9678439171506 ($4, #Cards:1)",,0,1
10028,10028,0,100,100,cash added to account,"8065365976255 ($4, #Cards:1)",,0,1
10029,10029,0,100,100,cash added to account,"3226146390502 ($4, #Cards:1)",,0,1
10030,10030,0,100,100,cash added to account,"14517658757259 ($4, #Cards:1)",,0,1
10031,10031,0,100,100,cash added to account,"4839219585753 ($4, #Cards:1)",,0,1
10032,10032,0,100,100,cash added to account,"6452292781004 ($4, #Cards:1)",,0,1
10032.0,10032,0.0,100,101,split card,"8065365976255 ($4, #Cards:2)",,0.0,1.01
10033.0,10033,0.0,100,101,cash added to account,"9678439171506 ($4, #Cards:1)",,0.0,1.01
10034.0,10034,0.0,100,101,cash added to account,"16130731952510 ($4, #Cards:1)",,0.0,1.01
10035.0,10035,0.0,100,101,cash added to account,"3226146390502 ($4, #Cards:1)",,0.0,1.01
10036.0,10036,0.0,100,101,cash added to account,"3226146390502 ($4, #Cards:0)",,0.0,1.01
10037.0,10037,0.0,100,101,cash added to account,"1613073195251 ($4, #Cards:1)",,0.0,1.01
10038.0,10038,0.0,100,101,cash added to account,"9678439171506 ($4, #Cards:1)",,0.0,1.01
10039.0,10039,0.0,100,101,cash added to account,"3226146390502 ($4, #Cards:0)",,0.0,1.01
10040.0,10040,0.0,100,101,cash added to account,"16130731952510 ($4, #Cards:2)",,0.0,1.01
10040.0,10040,0.0,100,101,played round,"4839219585753 ($4, #Cards:2)","1613073195251 ($4, #Cards:0)",0.0,1.01
10041.0,10041,0.0,100,101,cash added to account,"8065365976255 ($4, #Cards:1)",,0.0,1.01
10042.0,10042,0.0,100,101,cash added to account,"12904585562008 ($4, #Cards:1)",,0.0,1.01
10043.0,10043,0.0,100,101,cash added to account,"11291512366757 ($4, #Cards:1)",,0.0,1.01
10043.0,10043,0.0,100,101,played round,"14517658757259 ($4, #Cards:0)","4839219585753 ($4, #Cards:2)",0.0,1.01
10044.0,10044,0.0,100,101,cash added to account,"12904585562008 ($4, #Cards:1)",,0.0,1.01
10044.0,10044,0.0,100,102,split card,"9678439171506 ($4, #Cards:2)",,0.0,1.02
10045.0,10045,0.0,100,102,cash added to account,"11291512366757 ($4, #Cards:1)",,0.0,1.02
10045.0,10045,0.0,100,102,played round,"8065365976255 ($4, #Cards:0)","14517658757259 ($0, #Cards:1)",0.0,1.02
10045.0,10045,0.0,100,102,played round,"8065365976255 ($4, #Cards:0)","8065365976255 ($0, #Cards:1)",0.0,1.02
10045.0,10045,0.0,100,102,played round,"12904585562008 ($4, #Cards:0)","11291512366757 ($4, #Cards:2)",0.0,1.02
10046.0,10046,0.0,100,102,cash added to account,"11291512366757 ($4, #Cards:1)",,0.0,1.02
10047.0,10047,0.0,100,102,cash added to account,"11291512366757 ($4, #Cards:1)",,0.0,1.02
10048.0,10048,0.0,100,102,cash added to account,"12904585562008 ($4, #Cards:1)",,0.0,1.02
10049.0,10049,0.0,100,102,cash added to account,"11291512366757 ($4, #Cards:1)",,0.0,1.02
10049.0,10049,0.0,100,102,played round,"4839219585753 ($4, #Cards:0)","9678439171506 ($4, #Cards:2)",0.0,1.02
10050.0,10050,0.0,100,102,cash added to account,"6452292781004 ($4, #Cards:1)",,0.0,1.02
10050.0,10050,0.0,100,102,played round,"3226146390502 ($4, #Cards:0)","9678439171506 ($4, #Cards:2)",0.0,1.02
10051.0,10051,0.0,100,102,cash added to account,"8065365976255 ($4, #Cards:1)",,0.0,1.02
10051.0,10051,0.0,100,101,sell card ($0) & buy card,"11291512366757 ($4, #Cards:0)",,0.0,1.01
10051.0,10051,0.0,100,101,played round,"8065365976255 ($4, #Cards:2)","8065365976255 ($4, #Cards:1)",0.0,1.01
10052.0,10052,0.0,100,101,cash added to account,"6452292781004 ($4, #Cards:1)",,0.0,1.01
10052.0,10052,0.0,100,102,split card,"8065365976255 ($4, #Cards:2)",,0.0,1.02
10052.0,10052,0.0,100,101,sell card ($0) & buy card,"6452292781004 ($4, #Cards:0)",,0.0,1.01
10053.0,10053,0.0,100,101,cash added to account,"14517658757259 ($4, #Cards:1)",,0.0,1.01
10054.0,10054,0.0,100,101,cash added to account,"4839219585753 ($4, #Cards:1)",,0.0,1.01
10054.0,10054,0.0,100,101,played round,"16130731952510 ($4, #Cards:3)","14517658757259 ($4, #Cards:0)",0.0,1.01
10055.0,10055,0.0,100,101,cash added to account,"8065365976255 ($4, #Cards:1)",,0.0,1.01
10055.0,10055,0.0,100,100,sell card ($0) & buy card,"3226146390502 ($4, #Cards:0)",,0.0,1
10056.0,10056,0.0,100,100,cash added to account,"3226146390502 ($4, #Cards:1)",,0.0,1
10058.0,10058,0.0,100,100,cash added to account,"11291512366757 ($15, #Cards:2)",,0.0,1
10059.0,10059,0.0,100,100,cash added to account,"8065365976255 ($4, #Cards:1)",,0.0,1
10059.0,10059,0.0,100,100,played round,"12904585562008 ($4, #Cards:0)","4839219585753 ($0, #Cards:1)",0.0,1
10059.0,10059,0.0,100,100,played round,"6452292781004 ($4, #Cards:2)","4839219585753 ($4, #Cards:0)",0.0,1
10060.0,10060,0.0,100,100,cash added to account,"8065365976255 ($4, #Cards:1)",,0.0,1
10060.0,10060,0.0,101,101,added new player,"8065365976255 ($4, #Cards:1)",,0.0,1
10060.0,10060,0.0,101,101,played round,"11291512366757 ($4, #Cards:0)","16130731952510 ($0, #Cards:2)",0.0,1
10064.0,10064,0.0,101,101,cash added to account,"4839219585753 ($19, #Cards:1)",,0.0,1
10065.0,10065,0.0,101,101,cash added to account,"6452292781244 ($4, #Cards:1)",,0.0,1
10066.0,10066,0.0,101,101,cash added to account,"11291512366757 ($4, #Cards:1)",,0.0,1
10066.0,10066,0.0,101,101,played round,"4839219585753 ($4, #Cards:0)","4839219585753 ($0, #Cards:2)",0.0,1
10069.0,10069,0.0,101,101,cash added to account,"12904585562008 ($19, #Cards:0)",,0.0,1
10069.0,10069,0.0,101,100,sell card ($0) & buy card,"11291512366757 ($4, #Cards:0)",,0.0,0.9900990099009901
10069.0,10069,0.0,101,100,played round,"8065365976255 ($4, #Cards:2)","8065365976255 ($4, #Cards:0)",0.0,0.9900990099009901
10069.0,10069,0.0,101,100,played round,"14517658757259 ($4, #Cards:3)","3226146390502 ($4, #Cards:0)",0.0,0.9900990099009901
10070.0,10070,0.0,101,100,cash added to account,"16130731952510 ($4, #Cards:1)",,0.0,0.9900990099009901
10070.0,10070,0.0,101,100,played round,"4839219585753 ($4, #Cards:0)","14517658757259 ($4, #Cards:0)",0.0,0.9900990099009901
10070.0,10070,0.0,101,100,played round,"6452292781004 ($4, #Cards:0)","16130731952510 ($4, #Cards:2)",0.0,0.9900990099009901
10071.0,10071,0.0,101,100,cash added to account,"3226146390502 ($4, #Cards:1)",,0.0,0.9900990099009901
10071.0,10071,0.0,101,100,played round,"9678439171506 ($4, #Cards:1)","8065365976255 ($4, #Cards:0)",0.0,0.9900990099009901
10071.0,10071,0.0,101,100,played round,"12904585562008 ($4, #Cards:0)","12904585562008 ($4, #Cards:0)",0.0,0.9900990099009901
10072.0,10072,0.0,101,100,cash added to account,"16130731952510 ($4, #Cards:1)",,0.0,0.9900990099009901
10072.0,10072,0.0,101,100,played round,"9678439171506 ($4, #Cards:0)","11291512366757 ($4, #Cards:2)",0.0,0.9900990099009901
10072.0,10072,0.0,101,100,played round,"6452292781004 ($4, #Cards:0)","9678439171506 ($0, #Cards:2)",0.0,0.9900990099009901
10072.0,10072,0.0,101,100,played round,"3226146390502 ($4, #Cards:0)","3226146390502 ($4, #Cards:2)",0.0,0.9900990099009901
10073.0,10073,0.0,101,100,cash added to account,"1613073195251 ($4, #Cards:1)",,0.0,0.9900990099009901
10074.0,10074,0.0,101,100,cash added to account,"4839219585753 ($4, #Cards:1)",,0.0,0.9900990099009901
10074.0,10074,0.0,101,101,split card,"11291512366757 ($4, #Cards:2)",,0.0,1
10075.0,10075,0.0,101,101,cash added to account,"4839219585753 ($4, #Cards:1)",,0.0,1
10075.0,10075,0.0,101,101,played round,"12904585562008 ($4, #Cards:2)","4839219585753 ($0, #Cards:1)",0.0,1
10075.0,10075,0.0,101,101,played round,"4839219585753 ($19, #Cards:2)","3226146390502 ($4, #Cards:0)",0.0,1
